T, PyD, PyDD, PyDT
47.100001, 7.500632, 7.396305, 7.527026
47.200001, 7.501786, 7.39649, 7.528565
47.300001, 7.501012, 7.398809, 7.52911
47.400001, 7.499753, 7.396815, 7.52832
47.500001, 7.502711, 7.398714, 7.532323
47.600001, 7.502321, 7.39625, 7.531174
47.700001, 7.50401, 7.397265, 7.533752
47.800001, 7.506713, 7.397959, 7.532408
47.900001, 7.506379, 7.39677, 7.533672
48.000001, 7.505564, 7.402072, 7.534797
48.100001, 7.508387, 7.403331, 7.52845
48.200001, 7.507428, 7.402726, 7.533917
48.300001, 7.506813, 7.401972, 7.533787
48.400001, 7.508762, 7.400942, 7.531913
48.500001, 7.511795, 7.400513, 7.534127
48.600001, 7.512285, 7.403131, 7.530219
48.700001, 7.51223, 7.402951, 7.532228
48.800001, 7.51207, 7.401007, 7.532568
48.900001, 7.510676, 7.401472, 7.533767
49.000001, 7.51201, 7.403936, 7.539054
49.100001, 7.512265, 7.402317, 7.534282
49.200001, 7.512065, 7.403071, 7.535681
49.300001, 7.508802, 7.402891, 7.536885
49.400001, 7.513275, 7.403781, 7.538085
49.500001, 7.517312, 7.406599, 7.537225
49.600001, 7.515588, 7.409092, 7.538844
49.700001, 7.517312, 7.407418, 7.538784
49.800001, 7.517282, 7.407668, 7.53771
49.900001, 7.518386, 7.409377, 7.537595
50.000001, 7.517927, 7.405695, 7.536975
50.100001, 7.516977, 7.409862, 7.53744
50.200001, 7.517282, 7.406359, 7.539119
50.300001, 7.52083, 7.408978, 7.537275
50.400001, 7.521849, 7.408218, 7.5373
50.500001, 7.520575, 7.407643, 7.537715
50.600001, 7.523588, 7.409182, 7.539464
50.700001, 7.522989, 7.41294, 7.539699
50.800001, 7.523433, 7.413485, 7.542997
50.900001, 7.521724, 7.41322, 7.542857
51.000001, 7.524273, 7.413615, 7.543526
51.100001, 7.530744, 7.412535, 7.544626
51.200001, 7.52858, 7.410647, 7.542097
51.300001, 7.530149, 7.415084, 7.545985
51.400001, 7.527576, 7.41333, 7.544586
51.500001, 7.527906, 7.411771, 7.542937
51.600001, 7.525342, 7.411631, 7.544116
51.700001, 7.527811, 7.409947, 7.544411
51.800001, 7.528415, 7.415059, 7.542492
51.900001, 7.529525, 7.417657, 7.541777
52.000001, 7.529415, 7.420606, 7.542742
52.100001, 7.533332, 7.418237, 7.543441
52.200001, 7.534432, 7.419291, 7.542322
52.300001, 7.535656, 7.415753, 7.545145
52.400001, 7.531823, 7.419686, 7.543111
52.500001, 7.535316, 7.416543, 7.543226
52.600001, 7.532773, 7.414459, 7.543616
52.700001, 7.533123, 7.418577, 7.545945
52.800001, 7.532698, 7.419411, 7.547474
52.900001, 7.534187, 7.417213, 7.546549
53.000001, 7.532683, 7.423134, 7.547444
53.100001, 7.531339, 7.421345, 7.547404
53.200001, 7.537755, 7.423914, 7.548523
53.300001, 7.539414, 7.423279, 7.54535
53.400001, 7.538005, 7.423834, 7.546639
53.500001, 7.539594, 7.423924, 7.547889
53.600001, 7.540198, 7.42099, 7.548443
53.700001, 7.53769, 7.42175, 7.547879
53.800001, 7.538474, 7.424363, 7.547319
53.900001, 7.539978, 7.422849, 7.547149
54.000001, 7.539569, 7.424393, 7.548963
54.100001, 7.539953, 7.4303, 7.548943
54.200001, 7.540798, 7.430085, 7.547954
54.300001, 7.539329, 7.428965, 7.551826
54.400001, 7.542637, 7.427576, 7.552326
54.500001, 7.540818, 7.425458, 7.553815
54.600001, 7.54586, 7.427806, 7.553135
54.700001, 7.543966, 7.429925, 7.551317
54.800001, 7.544985, 7.430639, 7.55303
54.900001, 7.544216, 7.427571, 7.552461
55.000001, 7.542712, 7.426997, 7.553285
55.100001, 7.543586, 7.42909, 7.552636
55.200001, 7.544341, 7.42905, 7.551426
55.300001, 7.543661, 7.427351, 7.549283
55.400001, 7.543846, 7.431874, 7.551212
55.500001, 7.545915, 7.433318, 7.552241
55.600001, 7.542107, 7.434462, 7.551426
55.700001, 7.545275, 7.432453, 7.551801
55.800001, 7.544676, 7.433188, 7.553905
55.900001, 7.54577, 7.433897, 7.556993
56.000001, 7.546095, 7.434687, 7.557128
56.100001, 7.549872, 7.432963, 7.557438
56.200001, 7.546484, 7.435936, 7.555729
56.300001, 7.548788, 7.434992, 7.557083
56.400001, 7.548528, 7.433513, 7.558122
56.500001, 7.548593, 7.439189, 7.559961
56.600001, 7.547094, 7.438585, 7.555209
56.700001, 7.548413, 7.439959, 7.559277
56.800001, 7.548253, 7.440299, 7.559537
56.900001, 7.545745, 7.440124, 7.559437
57.000001, 7.547874, 7.439304, 7.558677
57.100001, 7.551676, 7.440404, 7.555834
57.200001, 7.552911, 7.439409, 7.558052
57.300001, 7.555099, 7.440279, 7.558162
57.400001, 7.5541, 7.43825, 7.556683
57.500001, 7.5531, 7.439079, 7.557713
57.600001, 7.5546, 7.440144, 7.557838
57.700001, 7.551676, 7.445401, 7.557613
57.800001, 7.552591, 7.444226, 7.557068
57.900001, 7.554355, 7.443537, 7.563094
58.000001, 7.55376, 7.444236, 7.56246
58.100001, 7.554739, 7.444511, 7.566138
58.200001, 7.551481, 7.440434, 7.564499
58.300001, 7.553555, 7.443697, 7.56167
58.400001, 7.560476, 7.443667, 7.564918
58.500001, 7.558182, 7.443507, 7.562065
58.600001, 7.559926, 7.443162, 7.563099
58.700001, 7.558747, 7.44573, 7.562735
58.800001, 7.558192, 7.446425, 7.564928
58.900001, 7.557997, 7.444641, 7.563089
59.000001, 7.557987, 7.449398, 7.563204
59.100001, 7.559242, 7.449878, 7.564574
59.200001, 7.558517, 7.449628, 7.562135
59.300001, 7.557533, 7.449938, 7.561895
59.400001, 7.557583, 7.449363, 7.56183
59.500001, 7.560071, 7.451927, 7.563379
59.600001, 7.559457, 7.450562, 7.563854
59.700001, 7.564988, 7.449003, 7.570875
59.800001, 7.564773, 7.448654, 7.568651
